scope,dataset,target,holdout,early_seconds,comparison,reduction_pct
instancegm_knet_station,knet,pga,station,3.0,metadata_vs_median,35.791440439454426
instancegm_knet_station,knet,pga,station,3.0,p_waveform_vs_median,39.50877319081342
instancegm_knet_station,knet,pga,station,3.0,metadata_plus_p_vs_metadata,17.647093537867946
instancegm_knet_station,knet,pga,station,5.0,metadata_vs_median,35.791440439454426
instancegm_knet_station,knet,pga,station,5.0,p_waveform_vs_median,45.57032652928273
instancegm_knet_station,knet,pga,station,5.0,metadata_plus_p_vs_metadata,23.33440311126759
instancegm_knet_station,knet,pga,station,10.0,metadata_vs_median,35.791440439454426
instancegm_knet_station,knet,pga,station,10.0,p_waveform_vs_median,60.467812975232896
instancegm_knet_station,knet,pga,station,10.0,metadata_plus_p_vs_metadata,49.9491861575663
esm,esm,pga,event,1.0,p_waveform_vs_median,29.595203557676154
esm,esm,pga,event,1.0,distance_added_to_p,22.18939911717372
esm,esm,pga,event,1.0,site_added_to_p_distance,9.274567867464762
esm,esm,pga,event,1.0,p_distance_site_vs_median,50.298435256629084
esm,esm,pga,event,2.0,p_waveform_vs_median,45.13172335256344
esm,esm,pga,event,2.0,distance_added_to_p,8.665878895870335
esm,esm,pga,event,2.0,site_added_to_p_distance,9.281075280817399
esm,esm,pga,event,2.0,p_distance_site_vs_median,54.53760954424204
esm,esm,pga,event,3.0,p_waveform_vs_median,53.24880659208511
esm,esm,pga,event,3.0,distance_added_to_p,0.21106667376209837
esm,esm,pga,event,3.0,site_added_to_p_distance,10.053388201206454
esm,esm,pga,event,3.0,p_distance_site_vs_median,58.037641442620526
esm,esm,pga,event,5.0,p_waveform_vs_median,60.046554928770945
esm,esm,pga,event,5.0,distance_added_to_p,2.8207577409376254
esm,esm,pga,event,5.0,site_added_to_p_distance,6.687222688184537
esm,esm,pga,event,5.0,p_distance_site_vs_median,63.76995634297704
esm,esm,pga,event,10.0,p_waveform_vs_median,64.8874348533445
esm,esm,pga,event,10.0,distance_added_to_p,5.010773970853384
esm,esm,pga,event,10.0,site_added_to_p_distance,10.1376174149387
esm,esm,pga,event,10.0,p_distance_site_vs_median,70.02806126354972
esm,esm,pgv,event,1.0,p_waveform_vs_median,21.23076059347894
esm,esm,pgv,event,1.0,distance_added_to_p,16.555083078678017
esm,esm,pgv,event,1.0,site_added_to_p_distance,8.909398928082645
esm,esm,pgv,event,1.0,p_distance_site_vs_median,40.12712588021871
esm,esm,pgv,event,2.0,p_waveform_vs_median,33.232565499274024
esm,esm,pgv,event,2.0,distance_added_to_p,8.002591676755154
esm,esm,pgv,event,2.0,site_added_to_p_distance,8.788830731235604
esm,esm,pgv,event,2.0,p_distance_site_vs_median,43.97416923153843
esm,esm,pgv,event,3.0,p_waveform_vs_median,39.67473593476185
esm,esm,pgv,event,3.0,distance_added_to_p,5.7230573321620355
esm,esm,pgv,event,3.0,site_added_to_p_distance,7.87172632389088
esm,esm,pgv,event,3.0,p_distance_site_vs_median,47.60405770233813
esm,esm,pgv,event,5.0,p_waveform_vs_median,43.91969970452069
esm,esm,pgv,event,5.0,distance_added_to_p,6.088066791800036
esm,esm,pgv,event,5.0,site_added_to_p_distance,5.436562825563632
esm,esm,pgv,event,5.0,p_distance_site_vs_median,50.197131140137316
esm,esm,pgv,event,10.0,p_waveform_vs_median,54.301653795066485
esm,esm,pgv,event,10.0,distance_added_to_p,7.853132325245187
esm,esm,pgv,event,10.0,site_added_to_p_distance,9.030328660622096
esm,esm,pgv,event,10.0,p_distance_site_vs_median,61.6930401836573
esm,esm,pga,station,1.0,p_waveform_vs_median,27.138935028657407
esm,esm,pga,station,1.0,distance_added_to_p,27.65274527422033
esm,esm,pga,station,1.0,site_added_to_p_distance,1.7672068399767829
esm,esm,pga,station,1.0,p_distance_site_vs_median,48.21856712216696
esm,esm,pga,station,2.0,p_waveform_vs_median,33.96358279550901
esm,esm,pga,station,2.0,distance_added_to_p,7.0779693914643085
esm,esm,pga,station,2.0,site_added_to_p_distance,1.3930555585873474
esm,esm,pga,station,2.0,p_distance_site_vs_median,39.49243223525294
esm,esm,pga,station,3.0,p_waveform_vs_median,52.39718062504426
esm,esm,pga,station,3.0,distance_added_to_p,4.748287712527819
esm,esm,pga,station,3.0,site_added_to_p_distance,-0.12875558938443993
esm,esm,pga,station,3.0,p_distance_site_vs_median,54.59911844441504
esm,esm,pga,station,5.0,p_waveform_vs_median,50.61052215138795
esm,esm,pga,station,5.0,distance_added_to_p,0.8137702450738632
esm,esm,pga,station,5.0,site_added_to_p_distance,4.410967236605147
esm,esm,pga,station,5.0,p_distance_site_vs_median,53.17326429087842
esm,esm,pga,station,10.0,p_waveform_vs_median,66.41036835937567
esm,esm,pga,station,10.0,distance_added_to_p,-6.937411784649683
esm,esm,pga,station,10.0,site_added_to_p_distance,10.96913912142368
esm,esm,pga,station,10.0,p_distance_site_vs_median,68.02021920162535
esm,esm,pgv,station,1.0,p_waveform_vs_median,23.65136556755057
esm,esm,pgv,station,1.0,distance_added_to_p,28.232280223573632
esm,esm,pgv,station,1.0,site_added_to_p_distance,-3.140708731767982
esm,esm,pgv,station,1.0,p_distance_site_vs_median,43.48541628322104
esm,esm,pgv,station,2.0,p_waveform_vs_median,21.95782029740861
esm,esm,pgv,station,2.0,distance_added_to_p,10.380586230968257
esm,esm,pgv,station,2.0,site_added_to_p_distance,2.053548170217552
esm,esm,pgv,station,2.0,p_distance_site_vs_median,31.495327032517896
esm,esm,pgv,station,3.0,p_waveform_vs_median,39.135957220854856
esm,esm,pgv,station,3.0,distance_added_to_p,8.888352576524396
esm,esm,pgv,station,3.0,site_added_to_p_distance,0.20467025031993819
esm,esm,pgv,station,3.0,p_distance_site_vs_median,44.65926625097155
esm,esm,pgv,station,5.0,p_waveform_vs_median,35.66204284695892
esm,esm,pgv,station,5.0,distance_added_to_p,6.762198977919493
esm,esm,pgv,station,5.0,site_added_to_p_distance,2.758453069039231
esm,esm,pgv,station,5.0,p_distance_site_vs_median,41.66742494854235
esm,esm,pgv,station,10.0,p_waveform_vs_median,57.829916234982726
esm,esm,pgv,station,10.0,distance_added_to_p,10.33310134107752
esm,esm,pgv,station,10.0,site_added_to_p_distance,5.772359039846946
esm,esm,pgv,station,10.0,p_distance_site_vs_median,64.37007312249594
aq2009gm,aq2009gm_full_stream,pga,event,2.0,metadata_plus_p_vs_metadata,37.62128312978804
aq2009gm,aq2009gm_full_stream,pga,event,5.0,metadata_plus_p_vs_metadata,57.78154615902075
aq2009gm,aq2009gm_full_stream,pgv,event,2.0,metadata_plus_p_vs_metadata,40.469311183090845
aq2009gm,aq2009gm_full_stream,pgv,event,5.0,metadata_plus_p_vs_metadata,74.85658846115814
aq2009gm,aq2009gm_full_stream,pga,station,2.0,metadata_plus_p_vs_metadata,33.9377336211044
aq2009gm,aq2009gm_full_stream,pga,station,5.0,metadata_plus_p_vs_metadata,55.792672578431
aq2009gm,aq2009gm_full_stream,pgv,station,2.0,metadata_plus_p_vs_metadata,42.090998351883925
aq2009gm,aq2009gm_full_stream,pgv,station,5.0,metadata_plus_p_vs_metadata,71.88614633749161
aq2009gm,aq2009gm_full_stream,pga,time,2.0,metadata_plus_p_vs_metadata,40.07770883990147
aq2009gm,aq2009gm_full_stream,pga,time,5.0,metadata_plus_p_vs_metadata,61.86751956908043
aq2009gm,aq2009gm_full_stream,pgv,time,2.0,metadata_plus_p_vs_metadata,46.043709265014435
aq2009gm,aq2009gm_full_stream,pgv,time,5.0,metadata_plus_p_vs_metadata,80.6063067198631
